size of n,number of threads,time in ns
100000,64,4251181
100000,64,2572996
100000,64,2358572
100000,64,2272683
100000,64,2233164
100000,64,2284915
1000000,64,2268057
1000000,64,2043899
1000000,64,2019159
1000000,64,2025060
1000000,64,2287065
1000000,64,2401659
10000000,64,4600293
10000000,64,4411529
10000000,64,4422669
10000000,64,4323868
10000000,64,4316170
10000000,64,4303437
100000000,64,27805718
100000000,64,28058287
100000000,64,27752317
100000000,64,24878691
100000000,64,25517423
100000000,64,26221640
100000,128,3037186
100000,128,3806822
100000,128,3710971
100000,128,3767235
100000,128,3872258
100000,128,3512695
1000000,128,3824188
1000000,128,6933524
1000000,128,4195638
1000000,128,4016188
1000000,128,3790393
1000000,128,3930147
10000000,128,7860215
10000000,128,5496577
10000000,128,6423964
10000000,128,6241225
10000000,128,6620366
10000000,128,4461630
100000000,128,25616112
100000000,128,25431367
100000000,128,27663292
100000000,128,26442460
100000000,128,27958312
100000000,128,25932237
100000,256,5788721
100000,256,6621750
100000,256,6431751
100000,256,6359293
100000,256,6618832
100000,256,6414773
1000000,256,8583027
1000000,256,9130016
1000000,256,6525513
1000000,256,6728228
1000000,256,6679030
1000000,256,5716094
10000000,256,8079590
10000000,256,7878916
10000000,256,8372151
10000000,256,14624739
10000000,256,11920466
10000000,256,7958931
100000000,256,25460148
100000000,256,26772693
100000000,256,28286127
100000000,256,24594111
100000000,256,27408541
100000000,256,27428402
100000,512,12097722
100000,512,11744529
100000,512,11918695
100000,512,21757114
100000,512,15221089
100000,512,18834365
1000000,512,12209468
1000000,512,12470150
1000000,512,12492021
1000000,512,12217131
1000000,512,11875624
1000000,512,20845330
10000000,512,13253451
10000000,512,13315622
10000000,512,12575581
10000000,512,13195818
10000000,512,13282902
10000000,512,13363619
100000000,512,28386588
100000000,512,30192055
100000000,512,27393179
100000000,512,29762282
100000000,512,29086855
100000000,512,31118539
100000,1024,24299380
100000,1024,33583785
100000,1024,25591548
100000,1024,33651037
100000,1024,37932885
100000,1024,37618597
1000000,1024,43778097
1000000,1024,25803212
1000000,1024,52553748
1000000,1024,31741055
1000000,1024,44558751
1000000,1024,40281509
10000000,1024,33964777
10000000,1024,26374426
10000000,1024,26346178
10000000,1024,25756140
10000000,1024,25493110
10000000,1024,26047226
100000000,1024,43350623
100000000,1024,46635366
100000000,1024,44508058
100000000,1024,45191029
100000000,1024,44607366
100000000,1024,43743732
